Address,Balance,Transaction count,inEther,outEther,feeEther,inCall,outCall,Call count,,,,,
0xeec566c793a89f388bbabfc0225183a6a95c4263,0,2,0,0,0,0,2,2,,,,,
0x2001f8cdcdeef1bbcc188ca59cf04fb44133d55a,0,2,0,0,0,0,2,2,,,,,
0x3bf958fa0626e898f548a8f95cf9ab3a4db65169,0,2,0,0,0,1,2,3,,,,,
0xb0d744fde06bbcb6655eb55288ec94fa6a0b2a52,0,2,0.0007,0.00007,0.00063,0,3,3,,,,,
0x18eb36d090eeadf82f3454a6da690fc398d3eba1,0,4,0,0,0,0,2,2,,,,,
0xd2431ca38735c2fd438e2caa23f094191d89675b,0,6,0,0,0.016328,2,4,6,,,,,
0x612b7be154a64292aae070aaa86fcd66ba218071,0,2,0,0.003245,0,0,2,2,,,,,
0x681ce2f439fdc80e70c1eea8b8a085dfb976d32a,0,2,0,0,0,0,2,2,,,,,
0x2174ca3ee9ace7dd8c946c97054c72f2b384c4c2,0,2,0.019574,0,0,0,1,1,,,,,
0x1d694d5ad94f32132ff5c14c901d3ddbee90a550,0,1,0,0,0,0,2,2,,,,,
0x0b6fe046e6fd8d7a7a36d5ad1ffb82d2e3e5c3bb,0,2,0,0,0,0,1,1,,,,,
0x258f4ed0560e290a95066d9dee3628f2f179302b,0,1,0,0,0,0,2,2,,,,,
0xe2a09565167d4e3f826adec6bef82b97e0a4383f,0,3,0,0,0,0,2,2,,,,,
0x9af70704e9ec5f505cdba564ff4dec03503ddaa2,0,7,0.0002,0.00002,0.00018,1,6,7,,,,,
0xeb9afe072c781401bf364224c75a036e4d832f52,0,12,0.0003,0.000027,0.011697,4,8,12,,,,,
0x07748403082b29a45abd6c124a37e6b14e6b1803,0,5,0.012728,0.001031,0,1,4,5,,,,,
0x63486b70d804464766cfd096bba5552c4bcdac30,0,4,0,0,0.000043,0,4,4,,,,,
0x5181be40152caaba8e123a55b7762755d4e8e416,0,5,0.0001,0,0.000273,1,2,3,,,,,
0x9481da7766c043eefeecc9589ee7ade61316b0ff,0,2,0,0.000057,0,0,1,1,,,,,
0x42aba3530dd1ccb1dda27bfaa7c6a832cfdb4446,0,2,0,0,0,0,4,4,,,,,
0x05650444ace15a01762bd97ee8fdeb495b3c2436,0,2,0,0,0,0,2,2,,,,,
0xd83d18a2eae2440e272a53f86e617cd9f33c8d68,0,1,0,0,0,0,2,2,,,,,
0x4a35a802dbd623561040dd50f6293842d0901731,0,2,0,0,0,0,2,2,,,,,
0x4dbaf6c348d8cd1f174a7a6155f80ea8d4a8baf8,0,2,0,0,0,0,3,3,,,,,
0x9efc4e49be8ff70d596ac20efec9b7842e1ea963,0,4,0.0001,0,0.0001,1,2,3,,,,,
0x68efde0cdd917c6da6dab02c23f69e7c9cff51a9,0,2,0,0,0,0,12,12,,,,,
0x99b52813933a46d95bd4265ea2f674e58827da97,0,2,0,0,0,0,2,2,,,,,
0x7b35461cc5adbdc415c1f9562ccc342adbf09bd4,0,2,0,0,0,0,2,2,,,,,
0x8ee8813fb9d41cc58ef87d28b36e948b1234e71d,0,2,0.27,0,0.008425,1,2,3,,,,,
0x69c1bc7883a7bb7696c7726d025867cd16564c9c,0,12,0.011656,0.198163,0.071837,9,10,19,,,,,
0x31eb18dd6f5a8064ab750eabb281cf162f43ccd0,0,1,0,0.003231,0,0,2,2,,,,,
0xf5d122e123d9d7998d2bea685d11b10fec3e4508,0,21,0,0,0,0,2,2,,,,,
0xf762854586a40a93d1fdcde32c062829f3754de9,0,1,0,0,0,0,1,1,,,,,
0x1e3f8fb9f840325983d6e5c68b6b846ff66a20ac,0,2,0,0,0,0,1,1,,,,,
0x3c1638a25ad7e8c2a84b53b661dd1bd048407e8f,0,2,0,0,0,0,2,2,,,,,
0x2eedf8a799b73bc02e4664183eb72422c377153b,0,2,0,0,0,0,5,5,,,,,
0xcdef6f23a26f960b53468f497967ce74c026af52,0,2,0,0,0,0,2,2,,,,,
0x0a2035683fe5587b0b09db0e757306ad729fe6c1,0,5,0,0,0,0,2,2,,,,,
0x158cc083cfbcffb2f983a3aa8b027eb0711c9831,0,2,0,0,0,0,2,2,,,,,
0x691cb1645a4f21d879973b3a3b98a714fc1970d6,0,2,0,0,0,0,2,2,,,,,
0x754164c0cb85dda1b5b18e5b62adbb4d60c3efbf,0,2,0,0,0,0,2,2,,,,,
0x556330e8d92912ccf133851ba03abd2db70da404,0,2,0,0,0,0,2,2,,,,,
0x1745ceba112b0a41638e235ec59b35adf37b70ab,0,2,0,0,0,0,2,2,,,,,
0xa24c85b16a440587793f82e358fa6b204468735b,0,2,0,0,0,0,2,2,,,,,
0x5304fb08724d73f2bb5e04c582407c33cde6c8d3,0,2,0,0,0,0,1,1,,,,,
0x256a11785fc43141324cf61efb5f491378c10c85,0,46,0.434147,0.041407,0,0,2,2,,,,,
0xa9f161a2badd44f3fe45b91a044a9484b72f1dc4,0,2,0,0,0.39274,16,2,18,,,,,
0xd5cc10c45fc0f9f956acd7559f61edbfec9f6c3d,0,2,0,0,0,0,30,30,,,,,
0x381c7a71035bdb42fb5d77523df2ff00d9f9df1b,0,2,0,0,0,0,2,2,,,,,
0x45cdbeea730d8212f451a6a8d0eb5998b04cccca,0,2,0,0,0,0,2,2,,,,,
0x6367283f25a32be0c28623d787c319e237c3b7bd,0,2,0,0,0,0,2,2,,,,,
0x598e94eb5e050045272d8417f6ab363bd874d568,0,7,0,0,0,0,7,7,,,,,
0x379ff6375f4a44f458683629ef05141d73fae55a,0,2,0,0,0,0,2,2,,,,,
0x18df8ba2ef19083ddff68f8b33976cf22e8419c6,0,2,0,0,0,0,2,2,,,,,
0xffceebc37a7351d5df9aa3b077ed39cc3b5192ff,0,2,0,0,0,0,2,2,,,,,
0x1cd21f00b58894260f7abed65ad23dce3cea0226,0,2,0,0,0,0,2,2,,,,,
0x26324733d604abb6176cf18e4f4a0624ceeddc09,0,2,0,0,0,0,2,2,,,,,
